top-1 output,BFA iteration
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
0,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
2,16
8,16
1,16
8,16
8,16
8,16
9,16
8,16
1,16
1,16
8,16
1,16
8,16
9,16
8,16
1,16
2,16
8,16
9,16
0,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
9,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
9,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
9,16
8,16
8,16
3,16
1,16
8,16
8,16
1,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
9,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
9,16
8,16
9,16
0,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
9,16
8,16
8,16
1,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
1,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
9,16
9,16
8,16
0,16
0,16
0,16
8,16
8,16
8,16
8,16
1,16
8,16
2,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
9,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
1,16
1,16
8,16
5,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
3,16
1,16
8,16
1,16
8,16
8,16
1,16
8,16
9,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
9,16
0,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
7,16
8,16
8,16
9,16
8,16
0,16
8,16
6,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
6,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
9,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
7,16
1,16
9,16
8,16
1,16
8,16
1,16
9,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
1,16
1,16
0,16
8,16
3,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
0,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
9,16
8,16
1,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
1,16
1,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
9,16
1,16
1,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
3,16
7,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
9,16
1,16
1,16
8,16
1,16
1,16
1,16
5,16
8,16
1,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
9,16
0,16
1,16
0,16
1,16
8,16
9,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
3,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
3,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
0,16
9,16
1,16
1,16
8,16
1,16
8,16
5,16
8,16
8,16
8,16
8,16
8,16
9,16
1,16
1,16
9,16
1,16
1,16
8,16
8,16
0,16
8,16
8,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
9,16
8,16
8,16
8,16
8,16
0,16
8,16
1,16
8,16
1,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
0,16
1,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
9,16
8,16
1,16
0,16
8,16
1,16
1,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
9,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
1,16
1,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
0,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
0,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
1,16
1,16
8,16
6,16
0,16
8,16
8,16
9,16
8,16
8,16
8,16
3,16
8,16
1,16
9,16
1,16
1,16
8,16
9,16
1,16
1,16
1,16
8,16
2,16
8,16
2,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
9,16
1,16
8,16
1,16
8,16
3,16
8,16
3,16
1,16
8,16
8,16
8,16
9,16
9,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
0,16
9,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
6,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
0,16
5,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
9,16
1,16
0,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
1,16
0,16
8,16
8,16
8,16
1,16
0,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
1,16
1,16
9,16
8,16
1,16
1,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
0,16
1,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
0,16
8,16
8,16
1,16
8,16
8,16
0,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
9,16
8,16
1,16
3,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
1,16
1,16
8,16
8,16
1,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
1,16
9,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
9,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
7,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
3,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
9,16
8,16
9,16
1,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
1,16
8,16
0,16
1,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
9,16
9,16
0,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
1,16
8,16
3,16
9,16
1,16
0,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
0,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
0,16
1,16
8,16
8,16
3,16
8,16
8,16
1,16
9,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
9,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
8,16
3,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
1,16
1,16
0,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
8,16
1,16
1,16
8,16
1,16
8,16
2,16
1,16
0,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
6,16
8,16
1,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
9,16
8,16
8,16
8,16
8,16
9,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
2,16
8,16
1,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
0,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
9,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
0,16
8,16
8,16
8,16
8,16
0,16
0,16
9,16
8,16
8,16
0,16
1,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
1,16
0,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
8,16
8,16
8,16
1,16
1,16
1,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
1,16
9,16
8,16
8,16
1,16
8,16
8,16
8,16
5,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
5,16
8,16
8,16
8,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
6,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
0,16
9,16
8,16
8,16
8,16
1,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
7,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
1,16
0,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
0,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
0,16
8,16
1,16
8,16
8,16
0,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
9,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
3,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
1,16
1,16
1,16
8,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
6,16
8,16
8,16
1,16
8,16
9,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
8,16
1,16
8,16
9,16
1,16
1,16
1,16
9,16
8,16
8,16
5,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
1,16
1,16
9,16
1,16
8,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
2,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
9,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
1,16
1,16
8,16
9,16
1,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
9,16
8,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
9,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
2,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
1,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
9,16
1,16
2,16
1,16
0,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
0,16
1,16
8,16
1,16
1,16
8,16
1,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
1,16
8,16
1,16
8,16
8,16
1,16
8,16
8,16
1,16
1,16
8,16
