top-1 output,BFA iteration
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
8,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
1,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
7,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
2,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
1,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
4,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
2,22
0,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
8,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
9,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
8,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
2,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
0,22
6,22
6,22
6,22
6,22
6,22
6,22
6,22
2,22
6,22
